Date,BIST100,USDTRY,EURTRY,GOLD
2013-01-02,796.4168090820312,1.7813999652862549,2.3494999408721924,1687.9000244140625
2013-01-03,800.3287353515625,1.7777800559997559,2.3438498973846436,1673.699951171875
2013-01-04,795.6358032226562,1.7841999530792236,2.3255999088287354,1648.0999755859375
2013-01-07,802.23974609375,1.7804800271987915,2.3271000385284424,1645.5
2013-01-08,801.6127319335938,1.7791800498962402,2.3352999687194824,1661.5
2013-01-09,811.4866943359375,1.7772799730300903,2.3255999088287354,1654.800048828125
2013-01-10,808.3707275390625,1.77538001537323,2.3185501098632812,1677.300048828125
2013-01-11,810.3307495117188,1.766379952430725,2.344749927520752,1660.0
2013-01-14,819.8956909179688,1.76937997341156,2.364150047302246,1668.9000244140625
2013-01-15,824.0565795898438,1.7680799961090088,2.365449905395508,1683.4000244140625
2013-01-16,840.8175659179688,1.768470048904419,2.3541500568389893,1682.699951171875
2013-01-17,848.5985107421875,1.7636699676513672,2.34483003616333,1690.4000244140625
2013-01-18,850.0444946289062,1.7532700300216675,2.3445301055908203,1686.5999755859375
2013-01-21,852.8104858398438,1.758739948272705,2.342329978942871,
2013-01-22,856.4644775390625,1.7642300128936768,2.348129987716675,1692.800048828125
2013-01-23,863.4053955078125,1.7678699493408203,2.353879928588867,1686.300048828125
2013-01-24,864.3744506835938,1.7707699537277222,2.3571300506591797,1669.5
2013-01-25,847.5465087890625,1.7682700157165527,2.3639299869537354,1656.4000244140625
2013-01-28,811.6536865234375,1.7667700052261353,2.379149913787842,1652.4000244140625
2013-01-29,821.7786865234375,1.773069977760315,2.3845300674438477,1660.699951171875
2013-01-30,789.8247680664062,1.7672699689865112,2.3846800327301025,1679.9000244140625
2013-01-31,787.8308715820312,1.7683199644088745,2.4001801013946533,1660.5999755859375
2013-02-01,802.2127075195312,1.7557499408721924,2.3897299766540527,1669.4000244140625
2013-02-04,807.2227172851562,1.7483700513839722,2.3865299224853516,1675.300048828125
2013-02-05,803.0947265625,1.7616699934005737,2.3806300163269043,1672.4000244140625
2013-02-06,800.5397338867188,1.7604700326919556,2.3917601108551025,1677.699951171875
2013-02-07,781.4888305664062,1.7688699960708618,2.3928298950195312,1670.4000244140625
2013-02-08,786.8358764648438,1.7729699611663818,2.37322998046875,1666.0
2013-02-11,772.5538940429688,1.7703700065612793,2.366029977798462,1648.199951171875
2013-02-12,780.7838745117188,1.7748700380325317,2.379240036010742,1648.699951171875
2013-02-13,779.4298706054688,1.7718700170516968,2.3838601112365723,1644.199951171875
2013-02-14,775.8009033203125,1.7633700370788574,2.3695099353790283,1634.699951171875
2013-02-15,780.8098754882812,1.7676500082015991,2.3607499599456787,1608.800048828125
2013-02-18,779.0708618164062,1.7676700353622437,2.3572299480438232,
2013-02-19,782.744873046875,1.7657999992370605,2.357419967651367,1603.5999755859375
2013-02-20,788.9088134765625,1.7754600048065186,2.3783600330352783,1577.5999755859375
2013-02-21,772.6879272460938,1.7845699787139893,2.3693299293518066,1578.199951171875
2013-02-22,758.9829711914062,1.7925699949264526,2.364229917526245,1572.4000244140625
2013-02-25,766.6989135742188,1.7990700006484985,2.3738300800323486,1586.199951171875
2013-02-26,775.138916015625,1.8102699518203735,2.366909980773926,1615.199951171875
2013-02-27,781.6588745117188,1.804669976234436,2.3576300144195557,1595.199951171875
2013-02-28,793.332763671875,1.7959699630737305,2.3633298873901367,1577.699951171875
2013-03-01,798.6707763671875,1.7984700202941895,2.3501899242401123,1571.9000244140625
2013-03-04,806.1177368164062,1.7981499433517456,2.339829921722412,1572.0999755859375
2013-03-05,810.5077514648438,1.7972700595855713,2.3438000679016113,1574.5999755859375
2013-03-06,821.7356567382812,1.7905700206756592,2.336829900741577,1574.5999755859375
2013-03-07,818.3426513671875,1.7974900007247925,2.3340299129486084,1574.800048828125
2013-03-08,835.4115600585938,1.7967499494552612,2.3557300567626953,1576.5999755859375
2013-03-11,831.192626953125,1.8040900230407715,2.3381500244140625,1577.800048828125
2013-03-12,833.4705810546875,1.798359990119934,2.343630075454712,1591.5
2013-03-13,826.1865844726562,1.802109956741333,2.3478000164031982,1588.300048828125
2013-03-14,819.8116455078125,1.8114900588989258,2.3487300872802734,1590.5999755859375
2013-03-15,831.150634765625,1.8092700242996216,2.3548998832702637,1592.5
2013-03-18,833.7836303710938,1.8157700300216675,2.325040102005005,1604.5999755859375
2013-03-19,822.8585815429688,1.8122700452804565,2.346329927444458,1611.300048828125
2013-03-20,821.6036376953125,1.8251700401306152,2.348330020904541,1607.5
2013-03-21,823.734619140625,1.8162699937820435,2.351330041885376,1613.800048828125
2013-03-22,824.515625,1.8171700239181519,2.344789981842041,1606.199951171875
2013-03-25,827.651611328125,1.8111200332641602,2.3589799404144287,1604.5999755859375
2013-03-26,839.7045288085938,1.8206199407577515,2.341909885406494,1595.800048828125
2013-03-27,841.9475708007812,1.8127199411392212,2.3320999145507812,1606.199951171875
2013-03-28,852.5354614257812,1.811750054359436,2.316499948501587,1594.800048828125
2013-03-29,858.9854125976562,1.8087199926376343,2.3183701038360596,
2013-04-01,861.118408203125,1.8090699911117554,2.301219940185547,1600.0
2013-04-02,860.262451171875,1.803920030593872,2.3181800842285156,1575.0999755859375
2013-04-03,848.5964965820312,1.8026200532913208,2.311079978942871,1552.800048828125
2013-04-04,832.43359375,1.8067200183868408,2.322580099105835,1551.800048828125
2013-04-05,820.7086791992188,1.8014700412750244,2.3299999237060547,1575.4000244140625
2013-04-08,833.4606323242188,1.8016899824142456,2.3283300399780273,1572.0
2013-04-09,827.6995849609375,1.784980058670044,2.325900077819824,1586.199951171875
2013-04-10,824.0386352539062,1.7829699516296387,2.3335800170898438,1558.300048828125
2013-04-11,841.0215454101562,1.789520025253296,2.336699962615967,1564.300048828125
2013-04-12,845.8064575195312,1.784060001373291,2.34060001373291,1501.0
2013-04-15,851.0684814453125,1.7892999649047852,2.343830108642578,1360.5999755859375
2013-04-16,847.051513671875,1.793470025062561,2.342180013656616,1386.800048828125
2013-04-17,843.9745483398438,1.7869700193405151,2.3551299571990967,1382.199951171875
2013-04-18,830.3786010742188,1.7983700037002563,2.3447699546813965,1392.0
2013-04-19,832.8505859375,1.7952699661254883,2.343679904937744,1395.300048828125
2013-04-22,840.2295532226562,1.8010300397872925,2.3527801036834717,1421.0
2013-04-23,,1.803920030593872,2.3561298847198486,1408.5999755859375
2013-04-24,847.7994995117188,1.8022099733352661,2.3400800228118896,1423.4000244140625
2013-04-25,849.4304809570312,1.8021199703216553,2.3472800254821777,1461.800048828125
2013-04-26,851.1184692382812,1.7982699871063232,2.3387300968170166,1453.5999755859375
2013-04-29,851.5374755859375,1.7953699827194214,2.325939893722534,1467.4000244140625
2013-04-30,860.4554443359375,1.7936099767684937,2.348979949951172,1472.199951171875
2013-05-01,,1.7911100387573242,2.3582301139831543,1446.300048828125
2013-05-02,886.6923217773438,1.7919000387191772,2.36188006401062,1467.699951171875
2013-05-03,890.9323120117188,1.7930500507354736,2.342329978942871,1464.300048828125
2013-05-06,897.1432495117188,1.7932100296020508,2.3539700508117676,1468.0999755859375
2013-05-07,894.5902099609375,1.7961699962615967,2.3483800888061523,1449.0
2013-05-08,908.5171508789062,1.7961000204086304,2.348299980163574,1473.9000244140625
2013-05-09,899.3072509765625,1.7892199754714966,2.3555800914764404,1468.800048828125
2013-05-10,895.6842651367188,1.7953799962997437,2.3420801162719727,1436.800048828125
2013-05-13,897.647216796875,1.8026200532913208,2.3215599060058594,1434.5
2013-05-14,912.8661499023438,1.8103200197219849,2.3519999980926514,1424.699951171875
2013-05-15,921.1160888671875,1.8147499561309814,2.3470299243927,1396.5
2013-05-16,919.4620971679688,1.8220900297164917,2.348129987716675,1387.0999755859375
2013-05-17,919.2431030273438,1.8228199481964111,2.348330020904541,1364.9000244140625
2013-05-20,901.646240234375,1.8420699834823608,2.364180088043213,1384.300048828125
2013-05-21,911.9031982421875,1.8404099941253662,2.3729801177978516,1377.800048828125
2013-05-22,931.7840576171875,1.8420699834823608,2.3800299167633057,1367.5999755859375
2013-05-23,913.5091552734375,1.8477799892425537,2.3742001056671143,1392.0
2013-05-24,910.158203125,1.8457200527191162,2.3845999240875244,1386.800048828125
2013-05-27,905.4631958007812,1.8449900150299072,2.370919942855835,
2013-05-28,899.1592407226562,1.8428699970245361,2.384999990463257,1379.0999755859375
2013-05-29,871.7403564453125,1.8597899675369263,2.387629985809326,1391.300048828125
2013-05-30,871.6973876953125,1.8607699871063232,2.4082798957824707,1411.5
2013-05-31,859.8954467773438,1.8714100122451782,2.4392800331115723,1392.5999755859375
2013-06-03,769.8328857421875,1.8857699632644653,2.4491798877716064,1411.699951171875
2013-06-04,807.3287353515625,1.8836100101470947,2.4621999263763428,1397.0999755859375
2013-06-05,796.36376953125,1.8713300228118896,2.4464900493621826,1398.4000244140625
2013-06-06,758.948974609375,1.8917900323867798,2.477519989013672,1415.699951171875
2013-06-07,783.3218383789062,1.8922100067138672,2.5059499740600586,1383.0
2013-06-10,763.8579711914062,1.8780299425125122,2.4778800010681152,1386.199951171875
2013-06-11,750.406005859375,1.8991700410842896,2.516129970550537,1377.0
2013-06-12,768.8029174804688,1.8901699781417847,2.5175299644470215,1391.800048828125
